Sweep Direction,Distance,Time,Location
0,15,159.7883301,Extreme left
0,15,159.7883301,Extreme left
0,15,159.7888184,Extreme left
0,15,159.7897949,Extreme left
0,15,159.7897949,Extreme left
0,15,159.7897949,Extreme left
0,15,159.7902832,Extreme left
0,15,159.7905273,Extreme left
0,15,159.7910156,Extreme left
0,15,159.7910156,Extreme left
0,15,159.7915039,Extreme left
0,15,159.7929688,Extreme left
0,15,159.7929688,Extreme left
0,15,159.7946777,Extreme left
0,15,159.7946777,Extreme left
0,15,159.7958984,Extreme left
0,15,159.7958984,Extreme left
0,15,159.7973633,Extreme left
0,15,159.7973633,Extreme left
0,15,159.7976074,Extreme left
0,15,159.7976074,Extreme left
0,15,159.7978516,Extreme left
0,15,159.7978516,Extreme left
0,15,159.798584,Extreme left
0,15,159.7990723,Extreme left
0,15,159.7990723,Extreme left
0,15,159.8000488,Extreme left
0,15,159.8000488,Extreme left
0,15,159.8007813,Extreme left
0,15,159.8007813,Extreme left
0,15,159.8010254,Extreme left
0,15,159.8027344,Extreme left
0,15,159.8027344,Extreme left
0,15,159.8034668,Extreme left
0,15,159.8049316,Extreme left
0,15,159.8083496,Extreme left
0,15,159.8088379,Extreme left
0,15,159.8100586,Extreme left
0,15,159.8103027,Extreme left
0,15,159.8115234,Extreme left
0,15,159.8115234,Extreme left
0,15,159.8115234,Extreme left
0,15,159.8117676,Extreme left
0,15,159.8134766,Extreme left
0,15,159.8151855,Extreme left
0,15,159.8151855,Extreme left
0,15,159.8173828,Extreme left
0,15,159.8173828,Extreme left
0,15,159.8183594,Extreme left
0,15,159.8198242,Extreme left
0,15,159.8200684,Extreme left
0,15,159.8200684,Extreme left
0,15,159.8210449,Extreme left
0,15,159.8210449,Extreme left
0,15,159.8212891,Extreme left
0,15,159.8220215,Extreme left
0,15,159.8227539,Extreme left
0,15,159.8249512,Extreme left
0,15,159.8249512,Extreme left
0,15,159.8266602,Extreme left
0,15,159.8266602,Extreme left
0,15,159.8291016,Extreme left
0,15,159.8303223,Extreme left
0,15,159.8369141,Extreme left
0,15,159.8369141,Extreme left
0,15,159.8395996,Extreme left
0,15,159.8395996,Extreme left
0,15,159.8395996,Extreme left
0,15,159.8405762,Extreme left
1,15,35.50561523,Extreme left
1,15,35.57446289,Extreme left
1,15,35.57519531,Extreme left
1,15,35.57861328,Extreme left
1,15,35.58105469,Extreme left
1,15,35.58447266,Extreme left
1,15,35.58691406,Extreme left
1,15,35.59375,Extreme left
1,15,35.59399414,Extreme left
1,15,35.59423828,Extreme left
1,15,35.59643555,Extreme left
1,15,35.59741211,Extreme left
1,15,35.59765625,Extreme left
1,15,35.59790039,Extreme left
1,15,35.59887695,Extreme left
1,15,35.59887695,Extreme left
1,15,35.59936523,Extreme left
1,15,35.59960938,Extreme left
1,15,35.59985352,Extreme left
1,15,35.60009766,Extreme left
1,15,35.60083008,Extreme left
1,15,35.6015625,Extreme left
1,15,35.60180664,Extreme left
1,15,35.60229492,Extreme left
1,15,35.60302734,Extreme left
1,15,35.60351563,Extreme left
1,15,35.60375977,Extreme left
1,15,35.60400391,Extreme left
1,15,35.60400391,Extreme left
1,15,35.60449219,Extreme left
1,15,35.60449219,Extreme left
1,15,35.60473633,Extreme left
1,15,35.60546875,Extreme left
1,15,35.60595703,Extreme left
1,15,35.60668945,Extreme left
1,15,35.60693359,Extreme left
1,15,35.60693359,Extreme left
1,15,35.60839844,Extreme left
1,15,35.60864258,Extreme left
1,15,35.60864258,Extreme left
1,15,35.60888672,Extreme left
1,15,35.61035156,Extreme left
1,15,35.61108398,Extreme left
1,15,35.61132813,Extreme left
1,15,35.61254883,Extreme left
1,15,35.61303711,Extreme left
1,15,35.61303711,Extreme left
1,15,35.61352539,Extreme left
1,15,35.61401367,Extreme left
1,15,35.61523438,Extreme left
1,15,35.61547852,Extreme left
1,15,35.6159668,Extreme left
1,15,35.6184082,Extreme left
1,15,35.61889648,Extreme left
1,15,35.61914063,Extreme left
1,15,35.61938477,Extreme left
1,15,35.62036133,Extreme left
1,15,35.62109375,Extreme left
1,15,35.62207031,Extreme left
1,15,35.62280273,Extreme left
1,15,35.62329102,Extreme left
1,15,35.62353516,Extreme left
1,15,35.62353516,Extreme left
1,15,35.6237793,Extreme left
1,15,35.62402344,Extreme left
1,15,35.62475586,Extreme left
1,15,35.625,Extreme left
1,15,35.62646484,Extreme left
1,15,35.62695313,Extreme left
1,15,35.62719727,Extreme left
1,15,35.62744141,Extreme left
1,15,35.62768555,Extreme left
1,15,35.62841797,Extreme left
1,15,35.62890625,Extreme left
1,15,35.63061523,Extreme left
1,15,35.63061523,Extreme left
1,15,35.6315918,Extreme left
1,15,35.6315918,Extreme left
1,15,35.63183594,Extreme left
1,15,35.63208008,Extreme left
1,15,35.63208008,Extreme left
1,15,35.63232422,Extreme left
1,15,35.63232422,Extreme left
1,15,35.63256836,Extreme left
1,15,35.63256836,Extreme left
1,15,35.63330078,Extreme left
1,15,35.63354492,Extreme left
1,15,35.63427734,Extreme left
1,15,35.63427734,Extreme left
1,15,35.63427734,Extreme left
1,15,35.63476563,Extreme left
1,15,35.63525391,Extreme left
1,15,35.63549805,Extreme left
1,15,35.63549805,Extreme left
1,15,35.63549805,Extreme left
1,15,35.63623047,Extreme left
1,15,35.63647461,Extreme left
1,15,35.63671875,Extreme left
1,15,35.63745117,Extreme left
1,15,35.63745117,Extreme left
1,15,35.63793945,Extreme left
1,15,35.63842773,Extreme left
1,15,35.63842773,Extreme left
1,15,35.63842773,Extreme left
1,15,35.63867188,Extreme left
1,15,35.63867188,Extreme left
1,15,35.63867188,Extreme left
1,15,35.63867188,Extreme left
1,15,35.63916016,Extreme left
1,15,35.6394043,Extreme left
1,15,35.6394043,Extreme left
1,15,35.64013672,Extreme left
1,15,35.64013672,Extreme left
1,15,35.64038086,Extreme left
1,15,35.640625,Extreme left
1,15,35.640625,Extreme left
1,15,35.64086914,Extreme left
1,15,35.64086914,Extreme left
1,15,35.64160156,Extreme left
1,15,35.64160156,Extreme left
1,15,35.6418457,Extreme left
1,15,35.6418457,Extreme left
1,15,35.6418457,Extreme left
1,15,35.64208984,Extreme left
1,15,35.64257813,Extreme left
1,15,35.64257813,Extreme left
1,15,35.64282227,Extreme left
1,15,35.64282227,Extreme left
1,15,35.64306641,Extreme left
1,15,35.64331055,Extreme left
1,15,35.64355469,Extreme left
1,15,35.64379883,Extreme left
1,15,35.64379883,Extreme left
1,15,35.64379883,Extreme left
1,15,35.64379883,Extreme left
1,15,35.64379883,Extreme left
1,15,35.64379883,Extreme left
1,15,35.64379883,Extreme left
1,15,35.64404297,Extreme left
1,15,35.64404297,Extreme left
1,15,35.64428711,Extreme left
1,15,35.64477539,Extreme left
1,15,35.64477539,Extreme left
1,15,35.64477539,Extreme left
1,15,35.64477539,Extreme left
1,15,35.64477539,Extreme left
1,15,35.64477539,Extreme left
1,15,35.64501953,Extreme left
1,15,35.64599609,Extreme left
1,15,35.64624023,Extreme left
1,15,35.64624023,Extreme left
1,15,35.64648438,Extreme left
1,15,35.64672852,Extreme left
1,15,35.64672852,Extreme left
1,15,35.64672852,Extreme left
1,15,35.64672852,Extreme left
1,15,35.64672852,Extreme left
1,15,35.6472168,Extreme left
1,15,35.6472168,Extreme left
1,15,35.6472168,Extreme left
1,15,35.64746094,Extreme left
1,15,35.64746094,Extreme left
1,15,35.6484375,Extreme left
1,15,35.6484375,Extreme left
1,15,35.64868164,Extreme left
1,15,35.64892578,Extreme left
1,15,35.64892578,Extreme left
1,15,35.64892578,Extreme left
1,15,35.64916992,Extreme left
1,15,35.64916992,Extreme left
1,15,35.64941406,Extreme left
1,15,35.64941406,Extreme left
1,15,35.6496582,Extreme left
1,15,35.6496582,Extreme left
1,15,35.6496582,Extreme left
1,15,35.64990234,Extreme left
1,15,35.64990234,Extreme left
1,15,35.65014648,Extreme left
1,15,35.65014648,Extreme left
1,15,35.65039063,Extreme left
1,15,35.65063477,Extreme left
1,15,35.65063477,Extreme left
1,15,35.65087891,Extreme left
1,15,35.65112305,Extreme left
1,15,35.65112305,Extreme left
1,15,35.65112305,Extreme left
1,15,35.65161133,Extreme left
1,15,35.65185547,Extreme left
1,15,35.65185547,Extreme left
1,15,35.65185547,Extreme left
1,15,35.65209961,Extreme left
1,15,35.65234375,Extreme left
1,15,35.65234375,Extreme left
1,15,35.65258789,Extreme left
1,15,35.65258789,Extreme left
1,15,35.65258789,Extreme left
1,15,35.65283203,Extreme left
1,15,35.65283203,Extreme left
1,15,35.65307617,Extreme left
1,15,35.65332031,Extreme left
1,15,35.65332031,Extreme left
1,15,35.65380859,Extreme left
1,15,35.65380859,Extreme left
1,15,35.65380859,Extreme left
1,15,35.65380859,Extreme left
1,15,35.65380859,Extreme left
1,15,35.65405273,Extreme left
1,15,35.65454102,Extreme left
1,15,35.65478516,Extreme left
1,15,35.6550293,Extreme left
1,15,35.65527344,Extreme left
1,15,35.65551758,Extreme left
1,15,35.65551758,Extreme left
1,15,35.65551758,Extreme left
1,15,35.65576172,Extreme left
1,15,35.65576172,Extreme left
1,15,35.65698242,Extreme left
1,15,35.65698242,Extreme left
1,15,35.6574707,Extreme left
1,15,35.6574707,Extreme left
1,15,35.65795898,Extreme left
1,15,35.65820313,Extreme left
1,15,35.65844727,Extreme left
1,15,35.65869141,Extreme left
1,15,35.65869141,Extreme left
1,15,35.65942383,Extreme left
1,15,35.66015625,Extreme left
1,15,35.66040039,Extreme left
1,15,35.66040039,Extreme left
1,15,35.66040039,Extreme left
1,15,35.66040039,Extreme left
1,15,35.66064453,Extreme left
1,15,35.66088867,Extreme left
1,15,35.66088867,Extreme left
1,15,35.66186523,Extreme left
1,15,35.66235352,Extreme left
1,15,35.66259766,Extreme left
1,15,35.6628418,Extreme left
1,15,35.66308594,Extreme left
1,15,35.66333008,Extreme left
1,15,35.66381836,Extreme left
1,15,35.6640625,Extreme left
1,15,35.66430664,Extreme left
1,15,35.66455078,Extreme left
1,15,35.66455078,Extreme left
1,15,35.66455078,Extreme left
1,15,35.66772461,Extreme left
1,15,35.66772461,Extreme left
1,15,35.66796875,Extreme left
1,15,35.66821289,Extreme left
1,15,35.66821289,Extreme left
1,15,35.67041016,Extreme left
1,15,35.67114258,Extreme left
1,15,35.67138672,Extreme left
1,15,35.67333984,Extreme left
1,15,35.67749023,Extreme left
1,15,35.68457031,Extreme left
1,15,35.69262695,Extreme left
1,15,35.74536133,Extreme left
1,15,116.8413086,Extreme left
1,15,116.8457031,Extreme left
1,15,116.8642578,Extreme left
1,15,116.875,Extreme left
1,15,116.8789063,Extreme left
1,15,116.880127,Extreme left
1,15,116.8820801,Extreme left
1,15,116.8828125,Extreme left
1,15,116.8852539,Extreme left
1,15,116.8862305,Extreme left
1,15,116.8867188,Extreme left
1,15,116.887207,Extreme left
1,15,116.8874512,Extreme left
1,15,116.8879395,Extreme left
1,15,116.8881836,Extreme left
1,15,116.8886719,Extreme left
1,15,116.888916,Extreme left
1,15,116.8898926,Extreme left
1,15,116.8901367,Extreme left
1,15,116.8913574,Extreme left
1,15,116.8913574,Extreme left
1,15,116.8920898,Extreme left
1,15,116.892334,Extreme left
1,15,116.8930664,Extreme left
1,15,116.8930664,Extreme left
1,15,116.8930664,Extreme left
1,15,116.8935547,Extreme left
1,15,116.8935547,Extreme left
1,15,116.894043,Extreme left
1,15,116.8942871,Extreme left
1,15,116.8942871,Extreme left
1,15,116.8947754,Extreme left
1,15,116.8950195,Extreme left
1,15,116.8952637,Extreme left
1,15,116.8952637,Extreme left
1,15,116.8952637,Extreme left
1,15,116.8952637,Extreme left
1,15,116.8955078,Extreme left
